epoch,lr,train_loss,val_loss,step,test_loss
0.0,0.00011899999663000926,0.2037084847688675,0.11921634525060654,118,
1.0,0.00023799999326001853,0.10483000427484512,0.09428657591342926,237,
2.0,0.00035700001171790063,0.09232817590236664,0.08816622942686081,356,
3.0,0.00047599998652003706,0.08891542255878448,0.08493036031723022,475,
4.0,0.0005949999904260039,0.08684132993221283,0.0853152796626091,594,
5.0,0.0007140000234358013,0.08665312826633453,0.08361206203699112,713,
6.0,0.0008329999982379377,0.08477587252855301,0.08351127058267593,832,
7.0,0.0009519999730400741,0.08399509638547897,0.08257526904344559,951,
8.0,0.0010000000474974513,0.08349604904651642,0.08127475529909134,1070,
9.0,0.0010000000474974513,0.08266714215278625,0.07971213012933731,1189,
10.0,0.0010000000474974513,0.08179862052202225,0.0790155902504921,1308,0.16662223637104034
11.0,0.0010000000474974513,0.0807255357503891,0.0781717598438263,1427,
12.0,0.0010000000474974513,0.07948943972587585,0.07894276827573776,1546,
13.0,0.0010000000474974513,0.078932024538517,0.07796146720647812,1665,
14.0,0.0010000000474974513,0.07851824164390564,0.0807010680437088,1784,
15.0,0.0010000000474974513,0.0775601863861084,0.07848723232746124,1903,
16.0,0.0010000000474974513,0.07691635191440582,0.07904160022735596,2022,
17.0,0.0010000000474974513,0.0764932930469513,0.07643868774175644,2141,
18.0,0.0010000000474974513,0.07556198537349701,0.07683289051055908,2260,
19.0,0.0010000000474974513,0.07489319890737534,0.07519741356372833,2379,
20.0,0.0010000000474974513,0.07363246381282806,0.07454235851764679,2498,0.1610000729560852
21.0,0.0010000000474974513,0.07318336516618729,0.0756133422255516,2617,
22.0,0.0010000000474974513,0.07221498340368271,0.07363490015268326,2736,
23.0,0.0010000000474974513,0.07137295603752136,0.07394599914550781,2855,
24.0,0.0010000000474974513,0.07018721848726273,0.0741276666522026,2974,
25.0,0.0010000000474974513,0.06907585263252258,0.07318999618291855,3093,
26.0,0.0010000000474974513,0.06824912130832672,0.0727488324046135,3212,
27.0,0.0010000000474974513,0.06702572852373123,0.07311155647039413,3331,
28.0,0.0010000000474974513,0.06565464287996292,0.07396116852760315,3450,
