epoch,lr,train_loss,val_loss,train_loss_y,train_loss_neg_dy,val_loss_y,val_loss_neg_dy,step,test_loss,test_loss_y,test_loss_neg_dy
0.0,0.0010000000474974513,36069.72265625,10.697813987731934,171440.96875,2226.911376953125,44.78588104248047,2.1757972240448,1499,,,
1.0,0.0010000000474974513,570.929443359375,3.0525941848754883,2835.9365234375,4.67768669128418,11.56550407409668,0.9243668913841248,2999,,,
2.0,0.0010000000474974513,1192.22607421875,3.591806650161743,5938.6904296875,5.609860420227051,14.03921890258789,0.9799531102180481,4499,,,
3.0,0.0010000000474974513,5846.04736328125,18.78506851196289,28599.138671875,157.77391052246094,90.25895690917969,0.9165948629379272,5999,,,
4.0,0.0010000000474974513,691.21533203125,16.974109649658203,3440.095947265625,3.995197296142578,82.00202178955078,0.7171328067779541,7499,,,
5.0,0.0010000000474974513,647.9049682617188,22.607097625732422,3218.82861328125,5.174106597900391,104.14261627197266,2.223215341567993,8999,1.6468802690505981,4.106888294219971,1.0318782329559326
6.0,0.0010000000474974513,661.060546875,22.907630920410156,3283.995361328125,5.326895236968994,111.97898864746094,0.6397895216941833,10499,,,
7.0,0.0010000000474974513,1034.137451171875,103.84015655517578,5152.8466796875,4.460121154785156,515.9658203125,0.8087356686592102,11999,,,
8.0,0.0010000000474974513,959.5121459960938,29.21029281616211,4781.8291015625,3.9328932762145996,144.7516632080078,0.32494574785232544,13499,,,
9.0,0.0010000000474974513,551.9103393554688,170.1217041015625,2712.239501953125,11.827937126159668,847.7850341796875,0.7058489918708801,14999,,,
10.0,0.0010000000474974513,1227.0836181640625,102.6140365600586,5407.4560546875,181.990478515625,512.08984375,0.2450859397649765,16499,3.424896240234375,15.559206008911133,0.39131879806518555
11.0,0.0010000000474974513,387.48028564453125,25.72964859008789,1917.131591796875,5.067417144775391,98.85279846191406,7.448858261108398,17999,,,
12.0,0.0010000000474974513,125321.3828125,22.240480422973633,626048.4375,139.61636352539062,107.76895141601562,0.8583639860153198,19499,,,
13.0,0.0010000000474974513,331.2621154785156,14.037397384643555,1635.359375,5.237846374511719,67.05755615234375,0.7823577523231506,20999,,,
