epoch,lr,train_loss,val_loss,train_loss_y,train_loss_neg_dy,val_loss_y,val_loss_neg_dy,step,test_loss,test_loss_y,test_loss_neg_dy
0.0,0.00011899999663000926,390.1580505371094,80.92290496826172,207.00717163085938,435.9457702636719,22.05841636657715,95.63903045654297,118,,,
1.0,0.00023799999326001853,49.9205322265625,31.98785400390625,52.234901428222656,49.34193801879883,21.82843017578125,34.5277099609375,237,,,
2.0,0.00035700001171790063,20.864559173583984,15.956750869750977,16.044353485107422,22.069608688354492,20.827909469604492,14.738961219787598,356,,,
3.0,0.00047599998652003706,15.082954406738281,13.879129409790039,18.362228393554688,14.263134956359863,19.818723678588867,12.394229888916016,475,,,
4.0,0.0005949999904260039,10.637566566467285,10.533771514892578,10.72039794921875,10.616857528686523,19.136486053466797,8.383091926574707,594,,,
5.0,0.0007140000234358013,8.076327323913574,10.442351341247559,6.442026138305664,8.484902381896973,18.309946060180664,8.475452423095703,713,,,
6.0,0.0008329999982379377,8.1500825881958,8.141751289367676,5.67355489730835,8.769214630126953,17.433584213256836,5.818792819976807,832,,,
7.0,0.0009519999730400741,7.1529035568237305,7.523608684539795,7.225657939910889,7.1347150802612305,16.596250534057617,5.255448341369629,951,,,
8.0,0.0010000000474974513,5.899899959564209,8.699938774108887,8.531113624572754,5.242096424102783,15.9683256149292,6.88284158706665,1070,,,
9.0,0.0010000000474974513,4.399831771850586,5.7239861488342285,4.605739593505859,4.348354339599609,15.20995044708252,3.352494955062866,1189,,,
10.0,0.0010000000474974513,3.7895452976226807,5.566020965576172,3.1318371295928955,3.953972339630127,15.126344680786133,3.1759400367736816,1308,1.671473741531372,3.435290575027466,1.230519413948059
11.0,0.0010000000474974513,3.0079452991485596,5.039141654968262,3.2451326847076416,2.948647975921631,14.396477699279785,2.699807643890381,1427,,,
12.0,0.0010000000474974513,2.8641135692596436,5.9850544929504395,3.0341973304748535,2.821592330932617,13.854350090026855,4.017730712890625,1546,,,
13.0,0.0010000000474974513,2.5637598037719727,4.2698283195495605,2.400634527206421,2.6045408248901367,13.27959156036377,2.017387628555298,1665,,,
14.0,0.0010000000474974513,2.0975427627563477,5.2227888107299805,1.8644471168518066,2.1558165550231934,12.815362930297852,3.3246448040008545,1784,,,
15.0,0.0010000000474974513,2.2147834300994873,5.747682571411133,2.5901520252227783,2.120940685272217,12.282495498657227,4.113979339599609,1903,,,
